Timestamp,Frame,Class,Confidence,People Count
2025-10-26 01:49:31,20,person,0.56,5
2025-10-26 01:49:31,20,motorcycle,0.55,5
2025-10-26 01:49:31,20,person,0.50,6
2025-10-26 01:49:31,20,person,0.49,7
2025-10-26 01:49:31,20,person,0.48,8
2025-10-26 01:49:31,21,person,0.81,1
2025-10-26 01:49:31,21,person,0.73,2
2025-10-26 01:49:31,21,motorcycle,0.65,2
2025-10-26 01:49:31,21,person,0.64,3
2025-10-26 01:49:31,21,person,0.61,4
2025-10-26 01:49:31,21,person,0.52,5
2025-10-26 01:49:31,21,person,0.48,6
2025-10-26 01:49:31,21,person,0.47,7
2025-10-26 01:49:31,21,motorcycle,0.41,7
2025-10-26 01:49:32,22,person,0.82,1
2025-10-26 01:49:32,22,person,0.77,2
2025-10-26 01:49:32,22,person,0.63,3
2025-10-26 01:49:32,22,person,0.52,4
2025-10-26 01:49:32,22,person,0.48,5
2025-10-26 01:49:32,22,person,0.48,6
2025-10-26 01:49:32,22,person,0.46,7
2025-10-26 01:49:32,22,motorcycle,0.40,7
2025-10-26 01:49:32,23,person,0.82,1
2025-10-26 01:49:32,23,person,0.77,2
2025-10-26 01:49:32,23,person,0.60,3
2025-10-26 01:49:32,23,person,0.53,4
2025-10-26 01:49:32,23,motorcycle,0.52,4
2025-10-26 01:49:32,23,person,0.48,5
2025-10-26 01:49:32,23,motorcycle,0.45,5
2025-10-26 01:49:32,23,person,0.45,6
2025-10-26 01:49:32,23,person,0.44,7
2025-10-26 01:49:32,24,person,0.83,1
2025-10-26 01:49:32,24,person,0.69,2
2025-10-26 01:49:32,24,person,0.61,3
2025-10-26 01:49:32,24,person,0.58,4
2025-10-26 01:49:32,24,motorcycle,0.53,4
2025-10-26 01:49:32,24,person,0.43,5
2025-10-26 01:49:32,24,person,0.42,6
2025-10-26 01:49:32,25,person,0.82,1
2025-10-26 01:49:32,25,motorcycle,0.72,1
2025-10-26 01:49:32,25,person,0.61,2
2025-10-26 01:49:32,25,person,0.58,3
2025-10-26 01:49:32,25,person,0.49,4
2025-10-26 01:49:32,25,person,0.48,5
2025-10-26 01:49:32,25,person,0.46,6
